store_nbr,family,model,wape,mape,bias_pct,test_weeks
39,GROCERY I,moving_avg_8,0.20351070237866525,0.3485336889461807,0.016092439080026243,12
39,GROCERY I,ets,0.19072345802205537,0.304551177910596,-0.03787399461626453,12
39,GROCERY I,sarimax_promo,0.23702675107575064,0.5115417763324603,0.02811269948610193,12
45,PRODUCE,naive,0.1041374933942796,0.2921355732070135,0.05130202464569589,12
45,PRODUCE,seasonal_naive,0.11787243295299009,0.29927591448091767,0.010405410659395861,12
45,PRODUCE,moving_avg_8,0.10265370074988699,0.29319808333023306,0.06020478051205157,12
45,PRODUCE,ets,0.49660054687577343,0.7271866546568381,0.49660054687577343,12
45,PRODUCE,sarimax_promo,0.15912024397676525,0.17496840972944208,0.08895822783566881,12
51,BEVERAGES,naive,0.12219755479816109,0.3408499723961252,0.08874018948750798,12
51,BEVERAGES,seasonal_naive,0.13644038647947185,0.3625353100957096,0.03353553672493034,12
51,BEVERAGES,moving_avg_8,0.12109794357066143,0.33708718884953526,0.07993417966917837,12
51,BEVERAGES,ets,0.17726436822671154,0.37284929409756357,0.14586277471617234,12
51,BEVERAGES,sarimax_promo,0.11813812306820701,0.3333026392793245,0.07158966420728086,12
31,GROCERY I,naive,0.14333348019435804,0.3124042600336833,0.09560908076011701,12
31,GROCERY I,seasonal_naive,0.15130110352218928,0.27823421992353353,-0.0357628898404448,12
31,GROCERY I,moving_avg_8,0.12790575521730407,0.2889939003988136,0.06281387946040926,12
31,GROCERY I,ets,0.12873198481467987,0.2922788624961526,0.07171830349339221,12
31,GROCERY I,sarimax_promo,0.25176624252965996,0.7479570947615559,0.17115436687515617,12
2,GROCERY I,naive,0.13922315541481134,0.3435601838651285,0.03369590160172554,12
2,GROCERY I,seasonal_naive,0.11714779628864683,0.30668626315314224,0.021087092875609954,12
2,GROCERY I,moving_avg_8,0.141371793106613,0.37090207081454346,0.11073018495571126,12
2,GROCERY I,ets,0.14432146496369028,0.3338460160893062,0.0028078955684770657,12
2,GROCERY I,sarimax_promo,0.1968273516228552,0.443179402922896,0.17344778202370856,12
17,GROCERY I,naive,0.1369530545731915,0.27625596710197176,0.03800547278808138,12
17,GROCERY I,seasonal_naive,0.11060792754156569,0.246702974445977,0.04562256965002948,12
17,GROCERY I,moving_avg_8,0.17172872893696647,0.3365282822199602,0.14161639276055715,12
17,GROCERY I,ets,0.15881111942887344,0.30600584003766756,0.11806799049611198,12
17,GROCERY I,sarimax_promo,0.2071573840920824,0.47396189485275403,0.18239463906545927,12
47,PRODUCE,naive,0.11629056973631692,0.2866580217164447,0.04974307391082623,12
47,PRODUCE,seasonal_naive,0.12057824845887935,0.287395435346515,0.007223376869777986,12
47,PRODUCE,moving_avg_8,0.11371466118081773,0.29465844729879637,0.08827822941005434,12
47,PRODUCE,ets,0.4991019323883136,0.7168272819038393,0.4991019323883136,12
47,PRODUCE,sarimax_promo,0.12265500662572316,0.144010196564081,0.0253375483419834,12
